  7.8 ;  2.9;;;;Process;[PID 9829] python3; 13.3   
  7.7 ;  3.1;;;;Process;[PID 10240] python3; 13.5   
  9.1 ;  4.7;;;;Process;[PID 10429] python3; 18.4   
  5.4 ;  2.7;;;;Process;[PID 10788] python3; 10.7   
  6.2 ;  3.0;;;;Process;[PID 10972] python3; 12.0   
  5.9 ;  3.0;;;;Process;[PID 11329] python3; 11.8   
  6.0 ;  3.2;;;;Process;[PID 11512] python3; 12.3   
  6.3 ;  3.1;;;;Process;[PID 11699] python3; 12.3   
  6.1 ;  3.2;;;;Process;[PID 12057] python3; 12.4   
  6.2 ;  3.1;;;;Process;[PID 12586] python3; 12.3   
